trigram,repetation,polarity,sentiment
impact indian country,1,0.0,neutral
new supervision directed,1,0.13636363636363635,positive
supervision directed shows,1,0.0,neutral
directed shows killer,1,0.0,neutral
shows killer shots,1,0.0,neutral
killer shots snatch,1,0.0,neutral
shots snatch away,1,0.0,neutral
snatch away pr,1,0.0,neutral
video viewed tens,1,0.0,neutral
viewed tens thousands,1,0.0,neutral
tens thousands times,1,0.0,neutral
thousands times social,1,0.03333333333333333,positive
times social media,1,0.03333333333333333,positive
social media posts,1,0.03333333333333333,positive
media posts august,1,0.0,neutral
posts august claim,1,0.0,neutral
august claim shows,1,0.0,neutral
vaccine available sep,1,0.4,positive
available sep vaccine,1,0.4,positive
sep vaccine covid,1,0.0,neutral
serving one india,1,0.0,neutral
one india cultural,1,0.1,positive
india cultural hubs,1,0.1,positive
cultural hubs aai,1,0.1,positive
hubs aai kolkata,1,0.0,neutral
aai kolkata noted,1,0.0,neutral
kolkata noted rise,1,0.0,neutral
noted rise passenger,1,0.0,neutral
rise passenger footfall,1,0.0,neutral
passenger footfall aircraft,1,0.0,neutral
assam reports new,1,0.13636363636363635,positive
covid cases positivity,1,0.0,neutral
